"","n","phat","se_phat","phat_lwr95","phat_upr95","Nhat","se_Nhat"
"[345,355)",912,0.27855623724924,0.00785877496743276,0.262838687314375,0.294273787184106,32428.648310388,6725.69171147227
"[355,365)",772,0.235795411355717,0.00740580713318652,0.220983797089344,0.25060702562209,27450.5663329161,5705.83208305251
"[365,375)",623,0.190285675226181,0.0068164964771397,0.176652682271901,0.20391866818046,22152.4647997497,4620.36550907042
"[375,385)",497,0.151800931922009,0.00620920779310785,0.139382516335794,0.164219347508225,17672.191020025,3702.38907065431
"[385,395)",299,0.09132490672974,0.00495987742711696,0.0814051518755061,0.101244661583974,10631.7607947434,2259.55029314759
"[395,405)",177,0.032300036640957,0.00299889969494734,0.0263022372510624,0.0382978360308517,3760.26952038784,762.366208128944
"[405,415)",169,0.00783562639086151,0.00221234688123789,0.00341093262838573,0.0122603201533373,912.199184732259,185.167733842983
"[415,425)",100,0.0046364653200364,0.0013410240501851,0.0019544172196662,0.00731851342040659,539.76283120252,114.682817117595
"[425,435)",64,0.00296733780482329,0.000885648237751662,0.00119604132931997,0.00473863428032662,345.448211969613,77.682354182885
"[435,445)",37,0.00171549216841347,0.000542700463113592,0.000630091242186283,0.00280089309464065,199.712247544932,49.5534488419489
"[445,455)",26,0.00120548098320946,0.000401820639909975,0.000401839703389513,0.00200912226302941,140.338336112655,37.8118059921925
"[455,465)",17,0.000788199104406187,0.000285004314168086,0.000218190476070016,0.00135820773274236,91.7596813044284,27.8673753520776
"[465,475)",10,0.00046364653200364,0.00019142570341295,8.07951251777402e-05,0.000846497938829539,53.976283120252,19.6067103394368
"[475,485)",3,0.000139093959601092,8.74758393445573e-05,-3.58577190880228e-05,0.000314045638290206,16.1928849360756,9.67514612861821
"[485,495)",NA,0,NA,NA,NA,0,0
"[495,505)",3,0.000139093959601092,8.74758393445573e-05,-3.58577190880228e-05,0.000314045638290206,16.1928849360756,9.67514612861821
"[505,515)",1,4.6364653200364e-05,4.72490474910431e-05,-4.81334417817222e-05,0.00014086274818245,5.3976283120252,5.3976283120252
